Post ID,Blog Name,Post Type,Tags,Post Summary,Label
744062180027252736,confused-robot-cat,text,"['html', 'widgets', 'coding', 'web design', 'tumblr']",Anyone know how I can put a little floating window in the bottom right corner of my blog that simulates ads by scrolling through...,1
744059949763772416,makemychance1,text,"['web development', 'adobe', 'html css', 'coding']",Adobe CSS Tools: The Ultimate CSS Parser and Stringifier - Makemychance,1
744051776130596864,omeletcat,text,"['pixel game', 'pixel art', 'pixelart', 'game design', 'coding', 'indie game dev', 'game development', 'pixel illustration', 'programming', 'game dev update', 'game dev', 'game dev blog', 'game developers', 'indie dev', 'game dev stuff', 'indiegamedev', 'indie game', 'animated sprite', 'sprites', 'sprite art', 'pixel sprite', 'homestuck sprite', 'my sprites', 'sprite edit', 'pixel', 'pixel animation', 'pixel aesthetic', 'pixel graphics', 'pixel artist', 'ocs']","AIGHT i made. a gif of Rae's main attack. i am trying to make it look like a firework esk blast, but idk if i did it. i used...",1
744044033184284672,codemerything,text,"['codeblr', 'coding', 'browser', 'coding community', 'developer']",Browser Alert!,1
744040487402553344,caesarscypher,text,"['leetcode', 'coding', 'day 4']",leetcode march challenge: day 4,1
744040044466241536,devleader,video,"['Coding', 'Programming', 'Refactoring', 'Legacy Code', 'Testing']","So you can't test the change in that legacy code?
 I bet you that you can. But I bet that it's not the traditional way that you...",1
744035736700977152,omeletcat,text,"['pixel game', 'pixel art', 'pixel illustration', 'coding', 'indie game dev', 'game development', 'programming', 'game dev update', 'game design', 'game dev', 'game dev blog', 'game developers', 'game dev stuff', 'indiegamedev', 'indie dev', 'indie game', 'pixelart', 'pixel', 'pixel aesthetic', 'pixel artist', 'pixel graphics', 'sprites', 'sprite art', 'sprite edit', 'pixel sprite', 'my sprites', 'ocs', 'oc art', 'my ocs', 'oc']","okay so a few posts ago i came up with this idea, that instead of giving Rae just fire powers, i tweak it to look like...",1
744033744182214656,firewall-cyberdefense,text,"['cyberninjax-3648 studios', 'firewall: cyber defense', 'coding', 'programming', 'indie games']",Dialogue Progress 2,1
744029783120314368,badolmen,text,"['ra speaks', 'personal', 'coding', 'grad school', 'woahg haven’t used that tag in a while', 'anyways. wohooo I did it all by myself!!!! <- with so many substack answers for help', 'I was live coding in front of him the other day and he was like woah is that a talent you’ve always had being so fast at coding?', 'and I’m like. sure. I guess so? it’s easy if you idk ANNOTATE your code so that future you can just cntrl f your master coding file and find', 'the function/method you’re looking for.', 'i didnt say that last part but I wanted to. unannotated code my beloathed']",The satisfaction of finding an efficient way to clean up your data frame without using your advisor’s working but unannotated...,1
744027815288193024,codemerything,text,"['codeblr', 'coding community', 'coding', 'project']",Goals for this week,1
