Post Timestamp,Post ID,Blog Name,Post Type,Tags,Post Summary,Label
1709641230,744112763121598464,izicodes,text,"['5in5weeks', 'study challenge', 'programming', 'coding', 'studyblr', 'codeblr', 'studying', 'comp sci', 'progblr', 'tech', 'programmer', 'php', 'study', 'study hard', 'studyspiration', 'night study', 'stay productive']","Tuesday 5th March 2024 - [ Week 1 Day 3 ]
Today I studied primarily on Codecademy's ""Learn PHP Skill Path"" and still on the...",0
1709641170,744112699872591872,frogdisguised,text,"['coding', 'html', 'screaming crying throwing up', ""i don't have enough patience for this"", 'so instead of actually coding i slapped this together', 'why do i do this to myself', 'send help']",,0
1709640010,744111483623997440,donutwares,text,"['coding', 'affordable watches', 'christian', 'telepathy', 'mental health', 'authors']",Switched some straps…,0
1709636600,744107907486990336,edoxi,text,"['edoxitraininginstitute', 'coding', 'coding memes', 'coderlife']","You haven't known real happiness until you have experienced this.
Share this post with your fellow coders to celebrate the joys...",0
1709636557,744107863250714624,turtle-programming,text,"['coding', 'learning', 'programmieren', 'programming', 'teaching', 'studying', 'turtle programming', 'education', 'coding for kids', 'python', 'python academy', 'python for ever']",Python Turtle Programming Academy ...,0
1709636483,744107786403758080,devleader,link,"['Software Engineering', 'Programming', 'Coding', 'Medium', 'Article', 'Reading']",XUnit In ASP.NET Core — What You Need To Know To Start,0
1709632694,744103812618387456,izicodes,answer,"['my asks', 'coding', 'codeblr', 'programming', 'progblr', 'comp sci', 'tech', 'studying', 'studyblr']",can you suggest some final year projects for computer science and engineering in the machine learning domain?,0
1709629535,744100499454902272,frog707,text,"['software development', 'software engineering', 'golang', 'coding', 'artificial language', 'concurrency', 'google', 'programming languages', 'compiler', 'computing history', 'mascot', 'gophers']",Golang Co-Creator Rob Pike: 'What Go Got Right and Wrong',0
1709627155,744098004666073088,hayaway,text,"['codeblr', 'coding', 'learn to code', 'programming', '100daysofcode', 'womanintech', 'webdevelopment', 'python', 'html', 'python programming', 'javascript', 'full stack web development', 'html css', 'c sharp', 'front end development', 'website development', 'webdev', 'software engineering', 'javafullstackdeveloper', 'tech']","I was playing Persona 5 the another day and I saw this!
I will post it here as a reminder to have my own way of coding 💻✨",0
1709626469,744097285246418944,phloxy-fox,text,"['software development', 'flowery rambles', 'coding', 'hope necromancer', 'this is going to become my tag whenever I ramble about my job']",Sometimes I fear that I am so disposable at work and at risk of losing my job because it doesn't feel as if I am progressing as...,0
1709617573,744087957254848512,smbilodeau,text,"['image processing', 'python', 'coding', 'skull']","A step, a head.",0
1709592990,744062180027252736,confused-robot-cat,text,"['html', 'widgets', 'coding', 'web design', 'tumblr']",Anyone know how I can put a little floating window in the bottom right corner of my blog that simulates ads by scrolling through...,0
1709590863,744059949763772416,makemychance1,text,"['web development', 'adobe', 'html css', 'coding']",Adobe CSS Tools: The Ultimate CSS Parser and Stringifier - Makemychance,0
1709583068,744051776130596864,omeletcat,text,"['pixel game', 'pixel art', 'pixelart', 'game design', 'coding', 'indie game dev', 'game development', 'pixel illustration', 'programming', 'game dev update', 'game dev', 'game dev blog', 'game developers', 'indie dev', 'game dev stuff', 'indiegamedev', 'indie game', 'animated sprite', 'sprites', 'sprite art', 'pixel sprite', 'homestuck sprite', 'my sprites', 'sprite edit', 'pixel', 'pixel animation', 'pixel aesthetic', 'pixel graphics', 'pixel artist', 'ocs']","AIGHT i made. a gif of Rae's main attack. i am trying to make it look like a firework esk blast, but idk if i did it. i used...",0
1709575684,744044033184284672,codemerything,text,"['codeblr', 'coding', 'browser', 'coding community', 'developer']",Browser Alert!,0
1709572303,744040487402553344,caesarscypher,text,"['leetcode', 'coding', 'day 4']",leetcode march challenge: day 4,0
1709571880,744040044466241536,devleader,video,"['Coding', 'Programming', 'Refactoring', 'Legacy Code', 'Testing']","So you can't test the change in that legacy code?
 I bet you that you can. But I bet that it's not the traditional way that you...",0
