Post Timestamp,Post ID,Blog Name,Post Type,Tags,Post Summary,Label
1709641230,744112763121598464,izicodes,text,"['5in5weeks', 'study challenge', 'programming', 'coding', 'studyblr', 'codeblr', 'studying', 'comp sci', 'progblr', 'tech', 'programmer', 'php', 'study', 'study hard', 'studyspiration', 'night study', 'stay productive']",tuesday 5th march 2024 week 1 day 3 today studied primarily codecademys learn php skill path still 5in5weeks study challenge programming coding studyblr codeblr studying comp sci progblr tech programmer php study study hard studyspiration night study stay productive,0
1709641170,744112699872591872,frogdisguised,text,"['coding', 'html', 'screaming crying throwing up', ""i don't have enough patience for this"", 'so instead of actually coding i slapped this together', 'why do i do this to myself', 'send help']",nan coding html screaming cry throwing dont enough patience instead actually coding slapped together send help,0
1709640010,744111483623997440,donutwares,text,"['coding', 'affordable watches', 'christian', 'telepathy', 'mental health', 'authors']",switched strap coding affordable watch christian telepathy mental health author,0
1709636600,744107907486990336,edoxi,text,"['edoxitraininginstitute', 'coding', 'coding memes', 'coderlife']",havent known real happiness experienced share post fellow coder celebrate joy edoxitraininginstitute coding coding meme coderlife,0
1709636557,744107863250714624,turtle-programming,text,"['coding', 'learning', 'programmieren', 'programming', 'teaching', 'studying', 'turtle programming', 'education', 'coding for kids', 'python', 'python academy', 'python for ever']",python turtle programming academy coding learning programmieren programming teaching studying turtle programming education coding kid python python academy python ever,0
1709636483,744107786403758080,devleader,link,"['Software Engineering', 'Programming', 'Coding', 'Medium', 'Article', 'Reading']",xunit aspnet core need know start software engineering programming coding medium article reading,0
1709632694,744103812618387456,izicodes,answer,"['my asks', 'coding', 'codeblr', 'programming', 'progblr', 'comp sci', 'tech', 'studying', 'studyblr']",suggest final year project computer science engineering machine learning domain asks coding codeblr programming progblr comp sci tech studying studyblr,0
1709629535,744100499454902272,frog707,text,"['software development', 'software engineering', 'golang', 'coding', 'artificial language', 'concurrency', 'google', 'programming languages', 'compiler', 'computing history', 'mascot', 'gophers']",golang cocreator rob pike go got right wrong software development software engineering golang coding artificial language concurrency google programming language compiler computing history mascot gopher,0
1709627155,744098004666073088,hayaway,text,"['codeblr', 'coding', 'learn to code', 'programming', '100daysofcode', 'womanintech', 'webdevelopment', 'python', 'html', 'python programming', 'javascript', 'full stack web development', 'html css', 'c sharp', 'front end development', 'website development', 'webdev', 'software engineering', 'javafullstackdeveloper', 'tech']",playing persona 5 another day saw post reminder way coding codeblr coding learn code programming 100daysofcode womanintech webdevelopment python html python programming javascript full stack web development html cs c sharp front end development website development webdev software engineering javafullstackdeveloper tech,0
1709626469,744097285246418944,phloxy-fox,text,"['software development', 'flowery rambles', 'coding', 'hope necromancer', 'this is going to become my tag whenever I ramble about my job']",sometimes fear disposable work risk losing job doesnt feel progressing software development flowery ramble coding hope necromancer going become tag whenever ramble job,0
