Model,Model Description,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
DCNN_1,Vanilla Deep CNN,1.253025233745575,65.05882352941177,1.409884750843048,49.0
DCNN_2,With Padding = 1,1.2777474522590637,62.35294117647059,1.3978956540425618,49.666666666666664
DCNN_3,With Uniform Kernel Size of 3x3,1.2993176579475403,60.588235294117645,1.4106081525484722,49.0
DCNN_4,With Uniform Kernel Size of 4x4,1.3184816241264343,58.8235294117647,1.4889560143152873,41.333333333333336
DCNN_5,With Uniform Stride of 2x2 and Padding = 2,1.3172311221852022,57.94117647058823,1.3798695007960002,52.333333333333336
DCNN_6,With Increased number of Filters,1.6085493389297933,29.529411764705884,1.6041505734125774,30.0
DCNN_7,With Increased Kernel Size of 5x5 and Padding = 1,1.2931932666722465,61.11764705882353,1.460365931193034,43.666666666666664
DCNN_8,With Uniformly Decreasing Kernel Size,1.1980570484610165,71.0,1.3924654920895894,50.0
DCNN_9,With Increased Row Stride,1.3227508839438944,57.64705882352941,1.3971455097198486,49.666666666666664
DCNN_10,With Increased Coloumn Stride,1.241797899498659,66.11764705882354,1.3483386238416035,55.333333333333336
DCNN_11,With Batch Normalization,1.1319958742927103,77.6470588235294,1.2307705283164978,68.0
DCNN_12,With Batch Normalisation and Uniformly Decreasing Stride,1.0841553070965935,82.82352941176471,1.2834314703941345,60.666666666666664
DCNN_13,With Batch Normalisation and Uniform Stride of 2x2 and Padding = 2,1.1103556243812336,79.29411764705883,1.211980680624644,69.0
DCNN_14,With Batch Normalisation and With Increased Coloumn Stride,1.1199888639590319,79.0,1.2765518029530842,62.666666666666664
DCNN_15,With Batch Normalisation and Padding = 1,1.1635534342597513,74.47058823529412,1.2780714631080627,63.0
