Model,Model Description,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
SCNN_1,Vanilla CNN,0.9507805862847496,95.41176470588235,1.2511533101399739,66.0
SCNN_2,With Padding = 1,0.9512017141370213,95.41176470588235,1.2441782553990681,67.0
SCNN_3,With Kernel Size 4x4,0.981557498959934,92.47058823529412,1.2887579401334126,61.333333333333336
SCNN_4,With Stride 2x2,1.0612016179982353,84.94117647058823,1.2787805398305256,61.666666666666664
SCNN_5,With More Filters,0.9529925304300645,95.11764705882354,1.232133686542511,67.33333333333333
SCNN_6,With Kernel Size 4x4 and Padding = 1,0.9326975976719576,97.17647058823529,1.2303128639856975,67.0
SCNN_7,With Stride 2x2 and Padding = 1,1.0716436803340912,84.82352941176471,1.2527265548706055,66.33333333333333
SCNN_8,"With Kernel Size 4x4, Stride 2x2 and Padding = 1",1.0321029231828802,87.58823529411765,1.2453372875849407,66.0
SCNN_9,With Stride 2x1,1.0534812737913692,85.23529411764706,1.285995642344157,61.0
SCNN_10,With Stride 1x2,1.0165249985807083,89.23529411764706,1.2305806080500286,67.0
SCNN_11,With 2 Layers,0.9553891683326048,94.88235294117646,1.2457060813903809,66.33333333333333
